conversationId,restaurantName,callStartTime,callDuration,callEndReason,callWithinOfficeHours,reasonForCalling,partysizenumber,textsSent,numberOfTextsSent,phone,conversation
69c2c7b8c982fb21f235a610,RT Buckhead,2026-03-24T13:19:54.308-04:00,00:59,CallTransfer,TRUE,Lost Items Inquiries,,,0,CALLER-CDB938FD,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Hi. I think I left my sunglasses there last night.
Assistant: I'm ...
Customer: They're like a green pair of GoodR sunglasses, and they have purple lenses.
Assistant: I'm ...
Customer: I
Assistant: I'm ...
Customer: I Hello?
Assistant: I'm sorry, I'm having a little trouble hearing you. Could you please repeat that?
Customer: Yes. I left a pair of sunglasses there last night.
Assistant: I understand that you left a pair of sunglasses at our location last night. I can transfer you to our host, who manages lost and found items. Would you like me to connect you?
Customer: Great. Yes.
Assistant: Great, connecting you now."
69c6bda33b03748519ae4177,TF Oakwood,2026-03-27T13:25:57.698-04:00,00:18,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-416990E6,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hablar con un representante.
Assistant: Claro— En un momento te transferiré con un miembro de nuestro equipo."
69c01d649ca9287a673ff388,TF Oakwood,2026-03-22T12:48:39.062-04:00,00:17,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-0DECA753,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hablar con un operador.
Assistant: Entiendo que deseas hablar con un representante. Enseguida te transferiré con alguien de nuestro equipo."
69b6e687039d9372ee86a7ca,TF Oakwood,2026-03-15T13:04:09.835-04:00,00:29,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-97EBC7EE,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: ¿Me pueden transferir con una persona?
Assistant: Claro, te transferiré con un miembro de nuestro equipo en un momento."
69ac3732264d99a3020e806b,TF Oakwood,2026-03-07T09:33:25.198-05:00,01:05,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,"delivery, pickup",2,CALLER-BA81418B,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Para hacer un pedido,
Assistant: ¿Te gustaría hablar con un miembro de nuestro equipo o enviarte el enlace para hacer tu pedido en línea para recoger?
Customer: ¿Quiere el enlace?
Assistant: Sí, te lo puedo enviar por mensaje de texto. ¿Te gustaría recibir el enlace para hacer tu pedido en línea para recoger?
Customer: Sí.
Assistant: Te enviaré el enlace para hacer tu pedido en línea para recoger. ¿Necesitas algo más?
Customer: No.
Assistant: Perfecto, gracias por llamar a Todo Frito Oakwood. ¡Que tengas un gran día.
Assistant: Disculpa, estás ahí?
Customer: Hablar con alguien.
Assistant: Claro, te transferiré con un miembro de nuestro equipo para que te ayude con tu pedido. Un momento, por favor."
69b34c5a936cfd53978402b4,TF Oakwood,2026-03-12T19:29:33.192-04:00,01:05,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,6,,0,CALLER-669FFFB6,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hola, Julie. Este, te habla Yuri Quería saber si qué es lo más temprano que ustedes abren y si podría tener hacer una orden para mañana temprano.
Assistant: Hola Yuri, soy Yuli, no Julie. Todo Frito Oakwood abre a las ocho de la mañana....
Customer: Es una máquina, no, no.
Assistant: No hay problema, ...
Customer: No tengo treinta. Tower.
Assistant: Parece que no entendí bien tu ...
Customer: Le quiero decirle, déjeme.
Assistant: ¿En qué puedo ayudarte? ¿Quieres información sobre nuestro menú o hacer una orden para recoger?
Customer: A qué hora abren en la mañana.
Assistant: Abrimos a las ocho de la mañana. ¿Te gustaría saber nuestros horarios de hoy o hacer una orden para mañana?
Customer: Hacer una orden para mañana.
Assistant: Todo Frito Oakwood abre mañana a las ocho de la mañana. ¿Te gustaría hacer una orden para recoger mañana? Puedes hacer tu pedido en línea o hablar con un miembro de nuestro equipo. ¿Qué prefieres?
Customer: Six
Assistant: ¿Te refieres a ...
Customer: Hablar con un miembro de del equipo.
Assistant: Entiendo. Te voy a transferir con un miembro de nuestro equipo para que puedas hacer tu pedido. Un momento, por favor."
69b605ab10d10be09b7fb74c,RT Buckhead,2026-03-14T21:04:45.909-04:00,00:17,UserHangup,TRUE,Questions About Restaurant Hours and Wait Times,,,0,CALLER-B71D5CD0,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: How long is the wait?
Assistant: Let me check that for you... The current wait time is about thirty minutes."
69b02c3fea57e9e4aa9cbcc3,TF Oakwood,2026-03-10T10:35:45.557-04:00,00:57,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-75EE1A56,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hola. Buen día. Eh, ¿podría hacer un pepito?
Assistant: Buen ...
Customer: Para pasar recogiendo?
Assistant: ¿Te refieres a hacer un pedido para recoger o estás preguntando por el Pepito"" como plato en nuestro menú?
Customer: No quiero hacer un pedido para sauces recogiendo.
Assistant: Disculpa la confusión. ¿Te gustaría saber más sobre nuestro menú o tienes alguna otra pregunta sobre Todo Frito Oakwood?
Customer: Quiero hacer un pedido para llevar
Assistant: Para hacer un pedido para llevar, ¿prefieres hablar con alguien de nuestro equipo o te envío el enlace para que puedas hacer tu pedido en línea?
Customer: Quiero hacer un pedido para llevar ¿Puedes comunicarme con alguien, por favor?
Assistant: Entiendo. Un momento, por favor."
69b624a249be61fe96ab3117,RT Buckhead,2026-03-14T23:16:52.427-04:00,00:23,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-DD683297,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Post.
Assistant: Okay, would you like to speak with the host?
Customer: Yes.
Assistant: Great, connecting you now."
69ae10bade89918688cc63fb,TF Oakwood,2026-03-08T20:13:48.469-04:00,00:18,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-AA7AD7B2,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hablar con un representante.
Assistant: Claro, te transferiré con un miembro de nuestro equipo en un momento."
69c01437e852e2d6dedd2ae2,TF Oakwood,2026-03-22T12:09:29.528-04:00,00:16,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-DAEABAE3,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hablar con la tienda.
Assistant: ¿Te gustaría hablar con un miembro de nuestro equipo? La llamada será transferida en breve."
69bda8afac4fe85908521f3d,TF Oakwood,2026-03-20T16:06:09.510-04:00,00:21,UserHangup,TRUE,Making a Reservation or Inquiring About Reservations,8,,0,CALLER-D8C5436F,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Do you take reservations for parties of eight?
Assistant: Todo Frito Oakwood doesn't accept reservations in advance; you're ..."
69aaf1bf264d99a302d6e967,RT Buckhead,2026-03-06T10:24:49.710-05:00,01:07,UserHangup,,General Information and Amenities,,,0,CALLER-4C0308B2,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Yeah. Hi. I'm gonna come to lunch today.
Customer: Are you across the street from the
Assistant: I am a virtual assistant, and I am unable to understand the question. Could you please repeat it?
Customer: Your location.
Assistant: Our address is thirty three sixty five Piedmont Road NorthEast, Suite eleven twenty.
Customer: Are you across the street from the public shopping center?
Assistant: We are located at thirty three sixty five Piedmont Road NorthEast, Suite eleven twenty.
Assistant: Sorry, are you still on the line?
Customer: Yes.
Assistant: How can I help?
Customer: Can I speak to a
Assistant: I am sorry, we are currently closed. However, I can send you a support form via SMS so our team can follow up with you when we ..."
69bf39bfd04f7f4078c8c9a6,RT Buckhead,2026-03-21T20:37:21.195-04:00,00:32,UserHangup,TRUE,Questions About Restaurant Hours and Wait Times,2,,0,CALLER-3AA596C3,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Hello. What's the wait time for a for two persons right now for a Hello. What's the wait time for a for two persons right now for a two two people table?
Assistant: Let me check that for you. The current wait time is thirty minutes.
Customer: Ok. Thank you.
Assistant: Perfect—thanks for calling Real Tacos. Enjoy your day."
69c2f3e078112147b3b461bb,RT Buckhead,2026-03-24T16:28:19.038-04:00,01:42,UserHangup,TRUE,Making a Reservation or Inquiring About Reservations,7,,0,CALLER-D7CC8DCF,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Hey there. Do you guys for a group of, like, six or seven, do we need a reservation, or can we just show up?
Assistant: For parties of five or more, a manager needs to coordinate the reservation. In case Buckhead cannot handle your party, are you willing to be relocated to one of our nearby locations, Chamblee and Sandy Springs, that are within ten minutes?
Customer: No. Because we're all walking there from the Grand Hyatt. We'd like to at the Buckhead location. If possible.
Assistant: Under what name should I put the reservation?
Customer: Drake, d r a k e.
Assistant: What date and time works best?
Customer: it would be today at five thirty.
Assistant: Okay, so that's for six or seven people today, March twenty fourth, at five thirty P.M. under the name Drake. Does that look correct?
Customer: It yeah. Hold on just one second.
Customer: four, five. Yep. Seven will be perfect. That that looks correct. Thank you.
Assistant: Please wait while I submit your large party reservation request to our manager. I just sent your information to our managers, please check your messages you should receive an SMS with the details of your reservation, they will be reaching out soon!
Customer: Thank you.
Assistant: Perfect—thanks for calling Real Tacos. Enjoy your day."
69c1560fc982fb21f2f6b828,RT Buckhead,2026-03-23T11:02:42.132-04:00,00:32,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-46939605,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: I'm talking to the host.
Assistant: Okay, connecting you to the host now.
Assistant: Sorry, are you still on the line?
Customer: Yes.
Assistant: Okay, one moment."
69c7464d1f8b1488f5376517,RT Buckhead,2026-03-27T23:09:03.838-04:00,00:27,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-6A11A9F9,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Place an order.
Assistant: Awesome. I can text you our online ordering link so you can place your pickup order. Would you like me to send you the link?
Customer: Representative.
Assistant: Okay, connecting you now with the host."
69b8992349be61fe96f813f6,RT Buckhead,2026-03-16T19:58:29.978-04:00,00:31,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-461641DB,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Hey. I was wondering if I ordered right now on Uber, and I ordered incorrectly.
Assistant: Oh no. I am sorry to hear that. I can transfer you to the host so they can assist you. Would you like me to do that?
Customer: Yes.
Assistant: Great, connecting you now."
69a9e0584bcab3cfc68f052c,TF Oakwood,2026-03-05T14:58:18.666-05:00,00:21,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-CE94FBC2,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hablar con un representante.
Assistant: Claro, ¿desea hablar con un representante?
Customer: Sí."
69c2e9a00887978cf5909fa9,RT Buckhead,2026-03-24T15:44:34.330-04:00,00:51,UserHangup,TRUE,Making a Reservation or Inquiring About Reservations,5,,0,CALLER-336459E1,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Welcome.
Assistant: What are you in the mood for today?
Customer: Is this kid friendly?
Assistant: Yes, children are always welcome at Rreal Tacos.
Customer: Do I need to make a reservation?
Assistant: How many guests will be in your party?
Customer: Three adults and two kids.
Assistant: Okay, and what date and time works best for you?
Customer: Today.
Customer: At four o'clock.
Assistant: Under what name should I put the reservation?
Customer: Williams."
69b87fef49be61fe96f7b0d1,RT Buckhead,2026-03-16T18:10:57.260-04:00,00:18,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-75FA50F4,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: I need to talk to a human."
69ab589b4bcab3cfc6d962eb,RT Buckhead,2026-03-06T17:43:41.740-05:00,00:41,CallTransfer,TRUE,Questions About Restaurant Hours and Wait Times,4,,0,CALLER-97394624,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Hello. I wanted to see if you had any room on y'all patio right now for four people. But the only thing is it will have to be forward to her. I get it. And I've I've had some days But yeah.
Assistant: How many guests will be in ...
Customer: Even yeah. Maybe I could spend it home, but I mean, whatever.
Assistant: I am sorry, I was unable to collect the data correctly. Would you like to speak with the host?
Customer: Yes. Sorry."
69c488972aad034d43a76c97,RT Buckhead,2026-03-25T21:15:05.578-04:00,00:31,CallTransfer,TRUE,Employment Opportunities or Business Inquiries,,,0,CALLER-7E08B032,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: I was wondering if you guys are hiring.
Assistant: We are always looking for new talent. All employment-related inquiries are handled through the job opportunities form. Would you like to receive the form by SMS?
Customer: I would like to speak to operator."
69b16f6207175cba3cde70f3,TF Oakwood,2026-03-11T09:34:28.780-04:00,00:20,UserHangup,TRUE,,,,0,CALLER-A48980A2,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?"
69c142f3d04f7f40780da798,TF Oakwood,2026-03-23T09:41:09.528-04:00,00:36,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-DC549AF8,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Buenos días. ¿En orden para recoger, por favor?
Assistant: Buenos días. ¿Te gustaría hablar con un miembro del equipo o enviarte el enlace para hacer tu pedido en línea para recoger?
Customer: Para recoger.
Assistant: ¿Te gustaría hablar con un miembro del equipo o enviarte el enlace para hacer tu pedido en línea para recoger?
Customer: ¿Alar con alguien del equipo?
Assistant: ¿Quieres hablar con alguien del equipo? La llamada será transferida en breve."
69c884ce3561ccb2163c21db,TF Oakwood,2026-03-28T21:48:01.226-04:00,00:28,UserHangup,TRUE,Catering request,,,0,CALLER-8BD8223E,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hola, Julie, buenas noches.
Assistant: Dále— ...
Customer: Es que quería preguntar si tienen cajas de pasapalos a esta hora.
Assistant: Claro— Lo siento, pero esta ubicación de Todo Frito Oakwood no ofrece servicios de catering. ¿Hay algo más en lo que pueda ayudarte?
Customer: No.
Assistant: Bueno, gracias por llamar a Todo Frito ..."
